Date,Price,Transaction_count,Unique_addresses,Total_fees_USD
2022-01-01,47155.4765625,186834,446959,439129.15625
2022-01-02,47257.33984375,196865,475472,437603.8125
2022-01-03,46817.29296875,234793,641264,541845.25
2022-01-04,46417.82421875,274544,665948,616753.5
2022-01-05,45880.234375,272155,701822,725067.4375
2022-01-06,43136.87109375,264899,656398,657085.25
2022-01-07,42003.93359375,255381,677760,600107.5
2022-01-08,41729.1328125,223920,553680,403623.84375
2022-01-09,41924.765625,210143,485324,329929.6875
2022-01-10,41636.98828125,266743,681753,476217.625
2022-01-11,42207.17578125,277698,663753,494340.34375
2022-01-12,43230.63671875,271933,683635,504419.40625
2022-01-13,43412.921875,274515,634312,452744.0625
2022-01-14,42787.90625,270882,688711,413974.40625
2022-01-15,43149.39453125,234373,525054,320747.1875
2022-01-16,43107.4140625,216151,493164,274455.53125
2022-01-17,42569.92578125,258141,682457,386462.1875
2022-01-18,41972.75390625,265057,616039,397409.375
2022-01-19,41907.87109375,270334,657611,362989.125
2022-01-20,42203.49609375,271265,639731,420092.375
2022-01-21,38585.58203125,272348,694821,467485.84375
2022-01-22,35499.7734375,250294,714800,395655.40625
2022-01-23,35439.11328125,203986,497013,272087.875
2022-01-24,35152.203125,270712,690914,408878.375
2022-01-25,36528.5390625,265128,610062,397038.375
2022-01-26,37516.828125,261070,592409,449710.375
2022-01-27,36394.29296875,255925,628180,424749.875
2022-01-28,37080.01171875,264609,660008,464760.96875
2022-01-29,37829.22265625,231038,556712,466115.1875
2022-01-30,37952.078125,207173,526170,400033.4375
2022-01-31,37582.6484375,263410,706949,491597.71875
2022-02-01,38564.24609375,272984,759673,567218.5625
2022-02-02,38027.4453125,278985,693543,466365.375
2022-02-03,36827.33984375,265344,648847,390569.1875
2022-02-04,38737.37890625,247946,563652,549735.5625
2022-02-05,41507.90234375,258646,650169,586519.75
2022-02-06,41603.34765625,219196,659684,427095.96875
2022-02-07,43152.12109375,262034,618154,630863.6875
2022-02-08,43899.046875,276850,716178,635118
2022-02-09,43950.08203125,265804,736003,641558.3125
