Date,Price,Transaction_count,Unique_addresses,Total_fees_USD
2022-01-01 00:00:00.000,47155.476094507,186834,446959,439129.17
2022-01-02 00:00:00.000,47257.339957264,196865,475472,437603.8
2022-01-03 00:00:00.000,46817.294384738,234793,641264,541845.24
2022-01-04 00:00:00.000,46417.825796342,274544,665948,616753.47
2022-01-05 00:00:00.000,45880.235577026,272155,701822,725067.42
2022-01-06 00:00:00.000,43136.871741083,264899,656398,657085.22
2022-01-07 00:00:00.000,42003.934090338,255381,677760,600107.52
2022-01-08 00:00:00.000,41729.131609905,223920,553680,403623.84
2022-01-09 00:00:00.000,41924.767557877,210143,485324,329929.69
2022-01-10 00:00:00.000,41636.989355112,266743,681753,476217.64
2022-01-11 00:00:00.000,42207.177369632,277698,663753,494340.35
2022-01-12 00:00:00.000,43230.637951275,271933,683635,504419.4
2022-01-13 00:00:00.000,43412.921260802,274515,634312,452744.07
2022-01-14 00:00:00.000,42787.905783606,270882,688711,413974.42
2022-01-15 00:00:00.000,43149.396402543,234373,525054,320747.2
2022-01-16 00:00:00.000,43107.41469145,216151,493164,274455.54
2022-01-17 00:00:00.000,42569.927114263,258141,682457,386462.2
2022-01-18 00:00:00.000,41972.753959931,265057,616039,397409.36
2022-01-19 00:00:00.000,41907.872150441,270334,657611,362989.13
2022-01-20 00:00:00.000,42203.496087282,271265,639731,420092.39
2022-01-21 00:00:00.000,38585.583972698,272348,694821,467485.85
2022-01-22 00:00:00.000,35499.774580389,250294,714800,395655.4
2022-01-23 00:00:00.000,35439.11172938,203986,497013,272087.86
2022-01-24 00:00:00.000,35152.204030276,270712,690914,408878.36
2022-01-25 00:00:00.000,36528.538922338,265128,610062,397038.37
2022-01-26 00:00:00.000,37516.826776821,261070,592409,449710.37
2022-01-27 00:00:00.000,36394.294237195,255925,628180,424749.88
2022-01-28 00:00:00.000,37080.013495649,264609,660008,464760.97
2022-01-29 00:00:00.000,37829.221902677,231038,556712,466115.2
2022-01-30 00:00:00.000,37952.079515973,207173,526170,400033.43
2022-01-31 00:00:00.000,37582.648464637,263410,706949,491597.71
2022-02-01 00:00:00.000,38564.244700902,272984,759673,567218.55
