date,price
2022-01-01,47155.48
2022-01-02,47257.34
2022-01-03,46817.29
2022-01-04,46417.82
2022-01-05,45880.23
2022-01-06,43136.87
2022-01-07,42003.93
2022-01-08,41729.13
2022-01-09,41924.77
2022-01-10,41636.99
2022-01-11,42207.18
2022-01-12,43230.64
2022-01-13,43412.92
2022-01-14,42787.91
2022-01-15,43149.39
2022-01-16,43107.41
2022-01-17,42569.93
2022-01-18,41972.75
2022-01-19,41907.87
2022-01-20,42203.50
2022-01-21,38585.58
2022-01-22,35499.77
2022-01-23,35439.11
2022-01-24,35152.20
2022-01-25,36528.54
2022-01-26,37516.83
2022-01-27,36394.29
2022-01-28,37080.01
2022-01-29,37829.22
2022-01-30,37952.08
2022-01-31,37582.65
2022-02-01,38564.25
2022-02-02,38027.45
2022-02-03,36827.34
2022-02-04,38737.38
2022-02-05,41507.90
2022-02-06,41603.35
2022-02-07,43152.12
2022-02-08,43899.05
2022-02-09,43950.08
2022-02-10,44300.83
2022-02-11,43184.81
2022-02-12,42360.13
2022-02-13,42345.71
2022-02-14,42251.41
2022-02-15,43927.74
2022-02-16,43970.70
2022-02-17,42601.45
2022-02-18,40427.48
2022-02-19,40077.77
2022-02-20,38745.75
2022-02-21,38480.93
2022-02-22,37482.20
2022-02-23,38198.81
2022-02-24,36181.68
2022-02-25,38867.67
2022-02-26,39218.21
2022-02-27,38701.47
2022-02-28,39489.40
2022-03-01,43653.39
2022-03-02,44032.18
2022-03-03,43080.35
2022-03-04,40923.91
2022-03-05,39183.47
2022-03-06,39039.33
2022-03-07,38250.13
2022-03-08,38655.33
2022-03-09,41591.29
2022-03-10,39596.11
2022-03-11,38972.94
2022-03-12,39108.35
2022-03-13,38864.33
2022-03-14,38773.20
2022-03-15,39009.29
2022-03-16,40250.06
2022-03-17,40904.22
2022-03-18,40974.29
2022-03-19,41870.72
2022-03-20,41605.66
2022-03-21,41109.51
2022-03-22,42454.37
2022-03-23,42287.46
2022-03-24,43357.52
2022-03-25,44290.34
2022-03-26,44391.39
2022-03-27,44999.02
2022-03-28,47300.78
2022-03-29,47543.79
2022-03-30,47239.75
2022-03-31,46658.60
2022-04-01,45572.78
2022-04-02,46476.77
2022-04-03,46337.22
2022-04-04,46061.53
2022-04-05,46321.46
2022-04-06,44613.62
2022-04-07,43468.98
2022-04-08,43296.27
2022-04-09,42482.69
2022-04-10,42741.96
2022-04-11,41209.81
2022-04-12,39983.47
2022-04-13,40491.56
2022-04-14,40679.03
2022-04-15,40253.99
2022-04-16,40398.91
2022-04-17,40306.29
2022-04-18,39684.38
2022-04-19,41061.12
2022-04-20,41462.21
2022-04-21,41674.84
2022-04-22,40136.65
2022-04-23,39672.48
2022-04-24,39640.75
2022-04-25,39262.45
2022-04-26,39638.96
2022-04-27,38847.46
2022-04-28,39614.70
2022-04-29,39059.33
2022-04-30,38498.26
2022-05-01,38087.82
2022-05-02,38676.38
2022-05-03,38254.32
2022-05-04,38869.41
2022-05-05,38393.99
2022-05-06,36157.63
2022-05-07,35858.63
2022-05-08,34546.23
2022-05-09,32595.86
2022-05-10,31349.62
2022-05-11,30500.37
2022-05-12,28457.19
2022-05-13,30174.60
2022-05-14,29403.93
2022-05-15,30140.09
2022-05-16,29948.48
2022-05-17,30292.30
2022-05-18,29560.59
2022-05-19,29575.50
2022-05-20,29790.46
2022-05-21,29342.95
2022-05-22,29800.81
2022-05-23,30058.81
2022-05-24,29310.85
2022-05-25,29751.31
2022-05-26,29437.85
2022-05-27,28878.09
2022-05-28,28897.68
2022-05-29,29137.26
2022-05-30,30628.21
2022-05-31,31703.38
2022-06-01,31052.29
2022-06-02,30048.47
2022-06-03,29977.38
2022-06-04,29697.77
2022-06-05,29812.40
2022-06-06,31273.02
2022-06-07,29957.62
2022-06-08,30441.27
2022-06-09,30251.10
2022-06-10,29640.04
2022-06-11,28852.69
2022-06-12,27602.50
2022-06-13,24087.85
2022-06-14,22190.72
2022-06-15,21412.82
2022-06-16,21404.46
2022-06-17,20702.88
2022-06-18,19303.00
2022-06-19,19322.51
2022-06-20,20327.16
2022-06-21,21019.61
2022-06-22,20297.16
2022-06-23,20545.58
2022-06-24,21080.69
2022-06-25,21269.89
2022-06-26,21371.58
2022-06-27,21045.80
2022-06-28,20701.91
2022-06-29,20141.51
2022-06-30,19362.00
2022-07-01,19529.38
2022-07-02,19235.56
2022-07-03,19164.63
2022-07-04,19524.12
2022-07-05,20001.37
2022-07-06,20186.57
2022-07-07,20813.60
2022-07-08,21751.21
2022-07-09,21615.40
2022-07-10,21135.12
2022-07-11,20465.28
2022-07-12,19749.48
2022-07-13,19638.40
2022-07-14,20190.99
2022-07-15,20782.38
2022-07-16,20876.07
2022-07-17,21203.86
2022-07-18,21872.60
2022-07-19,22539.94
