date,price,moving_avg_7
2022-01-01,47155.48,47155.480000
2022-01-02,47257.34,47206.410000
2022-01-03,46817.29,47076.703333
2022-01-04,46417.82,46911.982500
2022-01-05,45880.23,46705.632000
2022-01-06,43136.87,46110.838333
2022-01-07,42003.93,45524.137143
2022-01-08,41729.13,44748.944286
2022-01-09,41924.77,43987.148571
2022-01-10,41636.99,43247.105714
2022-01-11,42207.18,42645.585714
2022-01-12,43230.64,42267.072857
2022-01-13,43412.92,42306.508571
2022-01-14,42787.91,42418.505714
2022-01-15,43149.39,42621.400000
2022-01-16,43107.41,42790.348571
2022-01-17,42569.93,42923.625714
2022-01-18,41972.75,42890.135714
2022-01-19,41907.87,42701.168571
2022-01-20,42203.50,42528.394286
2022-01-21,38585.58,41928.061429
2022-01-22,35499.77,40835.258571
2022-01-23,35439.11,39739.787143
2022-01-24,35152.20,38680.111429
2022-01-25,36528.54,37902.367143
2022-01-26,37516.83,37275.075714
2022-01-27,36394.29,36445.188571
2022-01-28,37080.01,36230.107143
2022-01-29,37829.22,36562.885714
2022-01-30,37952.08,36921.881429
2022-01-31,37582.65,37269.088571
2022-02-01,38564.25,37559.904286
2022-02-02,38027.45,37632.850000
2022-02-03,36827.34,37694.714286
2022-02-04,38737.38,37931.481429
2022-02-05,41507.90,38457.007143
2022-02-06,41603.35,38978.617143
2022-02-07,43152.12,39774.255714
2022-02-08,43899.05,40536.370000
2022-02-09,43950.08,41382.460000
2022-02-10,44300.83,42450.101429
2022-02-11,43184.81,43085.448571
2022-02-12,42360.13,43207.195714
2022-02-13,42345.71,43313.247143
2022-02-14,42251.41,43184.574286
2022-02-15,43927.74,43188.672857
2022-02-16,43970.70,43191.618571
2022-02-17,42601.45,42948.850000
2022-02-18,40427.48,42554.945714
2022-02-19,40077.77,42228.894286
2022-02-20,38745.75,41714.614286
2022-02-21,38480.93,41175.974286
2022-02-22,37482.20,40255.182857
2022-02-23,38198.81,39430.627143
2022-02-24,36181.68,38513.517143
2022-02-25,38867.67,38290.687143
2022-02-26,39218.21,38167.892857
2022-02-27,38701.47,38161.567143
2022-02-28,39489.40,38305.634286
2022-03-01,43653.39,39187.232857
2022-03-02,44032.18,40020.571429
2022-03-03,43080.35,41006.095714
2022-03-04,40923.91,41299.844286
2022-03-05,39183.47,41294.881429
2022-03-06,39039.33,41343.147143
2022-03-07,38250.13,41166.108571
2022-03-08,38655.33,40452.100000
2022-03-09,41591.29,40103.401429
2022-03-10,39596.11,39605.652857
2022-03-11,38972.94,39326.942857
2022-03-12,39108.35,39316.211429
2022-03-13,38864.33,39291.211429
2022-03-14,38773.20,39365.935714
2022-03-15,39009.29,39416.501429
2022-03-16,40250.06,39224.897143
2022-03-17,40904.22,39411.770000
2022-03-18,40974.29,39697.677143
2022-03-19,41870.72,40092.301429
2022-03-20,41605.66,40483.920000
2022-03-21,41109.51,40817.678571
2022-03-22,42454.37,41309.832857
2022-03-23,42287.46,41600.890000
2022-03-24,43357.52,41951.361429
2022-03-25,44290.34,42425.082857
2022-03-26,44391.39,42785.178571
2022-03-27,44999.02,43269.944286
2022-03-28,47300.78,44154.411429
2022-03-29,47543.79,44881.471429
2022-03-30,47239.75,45588.941429
2022-03-31,46658.60,46060.524286
2022-04-01,45572.78,46243.730000
2022-04-02,46476.77,46541.641429
2022-04-03,46337.22,46732.812857
2022-04-04,46061.53,46555.777143
2022-04-05,46321.46,46381.158571
2022-04-06,44613.62,46005.997143
2022-04-07,43468.98,45550.337143
2022-04-08,43296.27,45225.121429
2022-04-09,42482.69,44654.538571
2022-04-10,42741.96,44140.930000
2022-04-11,41209.81,43447.827143
2022-04-12,39983.47,42542.400000
2022-04-13,40491.56,41953.534286
2022-04-14,40679.03,41554.970000
2022-04-15,40253.99,41120.358571
2022-04-16,40398.91,40822.675714
2022-04-17,40306.29,40474.722857
2022-04-18,39684.38,40256.804286
2022-04-19,41061.12,40410.754286
2022-04-20,41462.21,40549.418571
2022-04-21,41674.84,40691.677143
2022-04-22,40136.65,40674.914286
2022-04-23,39672.48,40571.138571
2022-04-24,39640.75,40476.061429
2022-04-25,39262.45,40415.785714
2022-04-26,39638.96,40212.620000
2022-04-27,38847.46,39839.084286
2022-04-28,39614.70,39544.778571
2022-04-29,39059.33,39390.875714
2022-04-30,38498.26,39223.130000
2022-05-01,38087.82,39001.282857
2022-05-02,38676.38,38917.558571
2022-05-03,38254.32,38719.752857
2022-05-04,38869.41,38722.888571
2022-05-05,38393.99,38548.501429
2022-05-06,36157.63,38133.972857
2022-05-07,35858.63,37756.882857
2022-05-08,34546.23,37250.941429
2022-05-09,32595.86,36382.295714
2022-05-10,31349.62,35395.910000
2022-05-11,30500.37,34200.332857
2022-05-12,28457.19,32780.790000
2022-05-13,30174.60,31926.071429
2022-05-14,29403.93,31003.971429
2022-05-15,30140.09,30374.522857
2022-05-16,29948.48,29996.325714
2022-05-17,30292.30,29845.280000
2022-05-18,29560.59,29711.025714
2022-05-19,29575.50,29870.784286
2022-05-20,29790.46,29815.907143
2022-05-21,29342.95,29807.195714
2022-05-22,29800.81,29758.727143
2022-05-23,30058.81,29774.488571
2022-05-24,29310.85,29634.281429
2022-05-25,29751.31,29661.527143
2022-05-26,29437.85,29641.862857
2022-05-27,28878.09,29511.524286
2022-05-28,28897.68,29447.914286
2022-05-29,29137.26,29353.121429
2022-05-30,30628.21,29434.464286
2022-05-31,31703.38,29776.254286
2022-06-01,31052.29,29962.108571
2022-06-02,30048.47,30049.340000
2022-06-03,29977.38,30206.381429
2022-06-04,29697.77,30320.680000
2022-06-05,29812.40,30417.128571
2022-06-06,31273.02,30509.244286
2022-06-07,29957.62,30259.850000
2022-06-08,30441.27,30172.561429
2022-06-09,30251.10,30201.508571
2022-06-10,29640.04,30153.317143
2022-06-11,28852.69,30032.591429
2022-06-12,27602.50,29716.891429
2022-06-13,24087.85,28690.438571
2022-06-14,22190.72,27580.881429
2022-06-15,21412.82,26291.102857
2022-06-16,21404.46,25027.297143
2022-06-17,20702.88,23750.560000
2022-06-18,19303.00,22386.318571
2022-06-19,19322.51,21203.462857
2022-06-20,20327.16,20666.221429
2022-06-21,21019.61,20498.920000
2022-06-22,20297.16,20339.540000
2022-06-23,20545.58,20216.842857
2022-06-24,21080.69,20270.815714
2022-06-25,21269.89,20551.800000
2022-06-26,21371.58,20844.524286
2022-06-27,21045.80,20947.187143
2022-06-28,20701.91,20901.801429
2022-06-29,20141.51,20879.565714
2022-06-30,19362.00,20710.482857
2022-07-01,19529.38,20488.867143
2022-07-02,19235.56,20198.248571
2022-07-03,19164.63,19882.970000
2022-07-04,19524.12,19665.587143
