week,weekly_volume
2022-01-01,439129.16
2022-01-02,437603.81
2022-01-03,541845.25
2022-01-04,616753.50
2022-01-05,725067.44
2022-01-06,657085.25
2022-01-07,600107.50
2022-01-08,403623.84
2022-01-09,329929.69
2022-01-10,476217.63
2022-01-11,494340.34
2022-01-12,504419.41
2022-01-13,452744.06
2022-01-14,413974.41
2022-01-15,320747.19
2022-01-16,274455.53
2022-01-17,386462.19
2022-01-18,397409.38
2022-01-19,362989.13
2022-01-20,420092.38
2022-01-21,467485.84
2022-01-22,395655.41
2022-01-23,272087.88
2022-01-24,408878.38
2022-01-25,397038.38
2022-01-26,449710.38
2022-01-27,424749.88
2022-01-28,464760.97
2022-01-29,466115.19
2022-01-30,400033.44
2022-01-31,491597.72
2022-02-01,567218.56
2022-02-02,466365.38
2022-02-03,390569.19
2022-02-04,549735.56
2022-02-05,586519.75
2022-02-06,427095.97
2022-02-07,630863.69
2022-02-08,635118.00
2022-02-09,641558.31
2022-02-10,868305.31
2022-02-11,722764.38
2022-02-12,524445.44
2022-02-13,368721.22
2022-02-14,472125.38
2022-02-15,548672.00
2022-02-16,443433.69
2022-02-17,421366.28
2022-02-18,380089.91
2022-02-19,275408.69
2022-02-20,221751.20
2022-02-21,366587.50
2022-02-22,343395.28
2022-02-23,308326.50
2022-02-24,371508.81
2022-02-25,448075.19
2022-02-26,264213.06
2022-02-27,268870.16
2022-02-28,372806.13
2022-03-01,851294.94
2022-03-02,1288955.50
2022-03-03,871856.81
2022-03-04,625561.94
2022-03-05,441457.44
2022-03-06,369014.50
2022-03-07,432210.63
2022-03-08,409268.91
2022-03-09,470064.97
2022-03-10,461160.63
2022-03-11,429874.41
2022-03-12,308367.38
2022-03-13,263104.09
2022-03-14,400475.88
2022-03-15,383146.91
2022-03-16,412321.41
2022-03-17,429663.91
2022-03-18,434540.31
2022-03-19,336891.03
2022-03-20,268580.72
2022-03-21,390234.44
2022-03-22,459314.56
2022-03-23,458271.47
2022-03-24,494407.81
2022-03-25,571871.94
2022-03-26,363345.97
