date,price,forecasted_price
2022-01-01,47155.48,25099.621571537011074760
2022-01-02,47257.34,25114.700455247785404760
2022-01-03,46817.29,25129.779338958559734760
2022-01-04,46417.82,25144.858222669334064760
2022-01-05,45880.23,25159.937106380108394760
2022-01-06,43136.87,25175.015990090882724760
2022-01-07,42003.93,25190.094873801657054760
2022-01-08,41729.13,25205.173757512431384760
2022-01-09,41924.77,25220.252641223205714760
2022-01-10,41636.99,25235.331524933980044760
2022-01-11,42207.18,25250.410408644754374760
2022-01-12,43230.64,25265.489292355528704760
2022-01-13,43412.92,25280.568176066303034760
2022-01-14,42787.91,25295.647059777077364760
2022-01-15,43149.39,25310.725943487851694760
2022-01-16,43107.41,25325.804827198626024760
2022-01-17,42569.93,25340.883710909400354760
2022-01-18,41972.75,25355.962594620174684760
2022-01-19,41907.87,25371.041478330949014760
2022-01-20,42203.50,25386.120362041723344760
2022-01-21,38585.58,25401.199245752497674760
2022-01-22,35499.77,25416.278129463272004760
2022-01-23,35439.11,25431.357013174046334760
2022-01-24,35152.20,25446.435896884820664760
2022-01-25,36528.54,25461.514780595594994760
2022-01-26,37516.83,25476.593664306369324760
2022-01-27,36394.29,25491.672548017143654760
2022-01-28,37080.01,25506.751431727917984760
2022-01-29,37829.22,25521.830315438692314760
2022-01-30,37952.08,25536.909199149466644760
2022-01-31,37582.65,25551.988082860240974760
2022-02-01,38564.25,25567.066966571015304760
2022-02-02,38027.45,25582.145850281789634760
2022-02-03,36827.34,25597.224733992563964760
2022-02-04,38737.38,25612.303617703338294760
2022-02-05,41507.90,25627.382501414112624760
2022-02-06,41603.35,25642.461385124886954760
2022-02-07,43152.12,25657.540268835661284760
2022-02-08,43899.05,25672.619152546435614760
2022-02-09,43950.08,25687.698036257209944760
2022-02-10,44300.83,25702.776919967984274760
2022-02-11,43184.81,25717.855803678758604760
2022-02-12,42360.13,25732.934687389532934760
2022-02-13,42345.71,25748.013571100307264760
2022-02-14,42251.41,25763.092454811081594760
2022-02-15,43927.74,25778.171338521855924760
2022-02-16,43970.70,25793.250222232630254760
2022-02-17,42601.45,25808.329105943404584760
2022-02-18,40427.48,25823.407989654178914760
2022-02-19,40077.77,25838.486873364953244760
2022-02-20,38745.75,25853.565757075727574760
2022-02-21,38480.93,25868.644640786501904760
2022-02-22,37482.20,25883.723524497276234760
2022-02-23,38198.81,25898.802408208050564760
2022-02-24,36181.68,25913.881291918824894760
2022-02-25,38867.67,25928.960175629599224760
2022-02-26,39218.21,25944.039059340373554760
2022-02-27,38701.47,25959.117943051147884760
2022-02-28,39489.40,25974.196826761922214760
2022-03-01,43653.39,25989.275710472696544760
2022-03-02,44032.18,26004.354594183470874760
2022-03-03,43080.35,26019.433477894245204760
2022-03-04,40923.91,26034.512361605019534760
2022-03-05,39183.47,26049.591245315793864760
2022-03-06,39039.33,26064.670129026568194760
2022-03-07,38250.13,26079.749012737342524760
2022-03-08,38655.33,26094.827896448116854760
2022-03-09,41591.29,26109.906780158891184760
2022-03-10,39596.11,26124.985663869665514760
2022-03-11,38972.94,26140.064547580439844760
2022-03-12,39108.35,26155.143431291214174760
2022-03-13,38864.33,26170.222315001988504760
2022-03-14,38773.20,26185.301198712762834760
2022-03-15,39009.29,26200.380082423537164760
2022-03-16,40250.06,26215.458966134311494760
2022-03-17,40904.22,26230.537849845085824760
2022-03-18,40974.29,26245.616733555860154760
2022-03-19,41870.72,26260.695617266634484760
2022-03-20,41605.66,26275.774500977408814760
2022-03-21,41109.51,26290.853384688183144760
2022-03-22,42454.37,26305.932268398957474760
2022-03-23,42287.46,26321.011152109731804760
2022-03-24,43357.52,26336.090035820506134760
2022-03-25,44290.34,26351.168919531280464760
2022-03-26,44391.39,26366.247803242054794760
2022-03-27,44999.02,26381.326686952829124760
2022-03-28,47300.78,26396.405570663603454760
2022-03-29,47543.79,26411.484454374377784760
2022-03-30,47239.75,26426.563338085152114760
2022-03-31,46658.60,26441.642221795926444760
2022-04-01,45572.78,26456.721105506700774760
2022-04-02,46476.77,26471.799989217475104760
2022-04-03,46337.22,26486.878872928249434760
2022-04-04,46061.53,26501.957756639023764760
2022-04-05,46321.46,26517.036640349798094760
2022-04-06,44613.62,26532.115524060572424760
2022-04-07,43468.98,26547.194407771346754760
2022-04-08,43296.27,26562.273291482121084760
2022-04-09,42482.69,26577.352175192895414760
2022-04-10,42741.96,26592.431058903669744760
2022-04-11,41209.81,26607.509942614444074760
2022-04-12,39983.47,26622.588826325218404760
2022-04-13,40491.56,26637.667710035992734760
2022-04-14,40679.03,26652.746593746767064760
2022-04-15,40253.99,26667.825477457541394760
2022-04-16,40398.91,26682.904361168315724760
2022-04-17,40306.29,26697.983244879090054760
2022-04-18,39684.38,26713.062128589864384760
2022-04-19,41061.12,26728.141012300638714760
2022-04-20,41462.21,26743.219896011413044760
2022-04-21,41674.84,26758.298779722187374760
2022-04-22,40136.65,26773.377663432961704760
2022-04-23,39672.48,26788.456547143736034760
2022-04-24,39640.75,26803.535430854510364760
2022-04-25,39262.45,26818.614314565284694760
2022-04-26,39638.96,26833.693198276059024760
2022-04-27,38847.46,26848.772081986833354760
2022-04-28,39614.70,26863.850965697607684760
2022-04-29,39059.33,26878.929849408382014760
2022-04-30,38498.26,26894.008733119156344760
2022-05-01,38087.82,26909.087616829930674760
2022-05-02,38676.38,26924.166500540705004760
2022-05-03,38254.32,26939.245384251479334760
2022-05-04,38869.41,26954.324267962253664760
2022-05-05,38393.99,26969.403151673027994760
2022-05-06,36157.63,26984.482035383802324760
2022-05-07,35858.63,26999.560919094576654760
2022-05-08,34546.23,27014.639802805350984760
2022-05-09,32595.86,27029.718686516125314760
2022-05-10,31349.62,27044.797570226899644760
2022-05-11,30500.37,27059.876453937673974760
2022-05-12,28457.19,27074.955337648448304760
2022-05-13,30174.60,27090.034221359222634760
2022-05-14,29403.93,27105.113105069996964760
2022-05-15,30140.09,27120.191988780771294760
2022-05-16,29948.48,27135.270872491545624760
2022-05-17,30292.30,27150.349756202319954760
2022-05-18,29560.59,27165.428639913094284760
2022-05-19,29575.50,27180.507523623868614760
2022-05-20,29790.46,27195.586407334642944760
2022-05-21,29342.95,27210.665291045417274760
2022-05-22,29800.81,27225.744174756191604760
2022-05-23,30058.81,27240.823058466965934760
2022-05-24,29310.85,27255.901942177740264760
2022-05-25,29751.31,27270.980825888514594760
2022-05-26,29437.85,27286.059709599288924760
2022-05-27,28878.09,27301.138593310063254760
2022-05-28,28897.68,27316.217477020837584760
2022-05-29,29137.26,27331.296360731611914760
2022-05-30,30628.21,27346.375244442386244760
2022-05-31,31703.38,27361.454128153160574760
2022-06-01,31052.29,27376.533011863934904760
2022-06-02,30048.47,27391.611895574709234760
2022-06-03,29977.38,27406.690779285483564760
2022-06-04,29697.77,27421.769662996257894760
2022-06-05,29812.40,27436.848546707032224760
2022-06-06,31273.02,27451.927430417806554760
2022-06-07,29957.62,27467.006314128580884760
2022-06-08,30441.27,27482.085197839355214760
2022-06-09,30251.10,27497.164081550129544760
2022-06-10,29640.04,27512.242965260903874760
2022-06-11,28852.69,27527.321848971678204760
2022-06-12,27602.50,27542.400732682452534760
2022-06-13,24087.85,27557.479616393226864760
2022-06-14,22190.72,27572.558500104001194760
2022-06-15,21412.82,27587.637383814775524760
2022-06-16,21404.46,27602.716267525549854760
2022-06-17,20702.88,27617.795151236324184760
2022-06-18,19303.00,27632.874034947098514760
2022-06-19,19322.51,27647.952918657872844760
2022-06-20,20327.16,27663.031802368647174760
2022-06-21,21019.61,27678.110686079421504760
2022-06-22,20297.16,27693.189569790195834760
2022-06-23,20545.58,27708.268453500970164760
2022-06-24,21080.69,27723.347337211744494760
2022-06-25,21269.89,27738.426220922518824760
2022-06-26,21371.58,27753.505104633293154760
2022-06-27,21045.80,27768.583988344067484760
2022-06-28,20701.91,27783.662872054841814760
2022-06-29,20141.51,27798.741755765616144760
2022-06-30,19362.00,27813.820639476390474760
2022-07-01,19529.38,27828.899523187164804760
2022-07-02,19235.56,27843.978406897939134760
2022-07-03,19164.63,27859.057290608713464760
2022-07-04,19524.12,27874.136174319487794760
2022-07-05,20001.37,27889.215058030262124760
2022-07-06,20186.57,27904.293941741036454760
2022-07-07,20813.60,27919.372825451810784760
2022-07-08,21751.21,27934.451709162585114760
2022-07-09,21615.40,27949.530592873359444760
2022-07-10,21135.12,27964.609476584133774760
2022-07-11,20465.28,27979.688360294908104760
2022-07-12,19749.48,27994.767244005682434760
2022-07-13,19638.40,28009.846127716456764760
2022-07-14,20190.99,28024.925011427231094760
2022-07-15,20782.38,28040.003895138005424760
2022-07-16,20876.07,28055.082778848779754760
2022-07-17,21203.86,28070.161662559554084760
2022-07-18,21872.60,28085.240546270328414760
2022-07-19,22539.94,28100.319429981102744760
2022-07-20,23570.99,28115.398313691877074760
2022-07-21,22929.51,28130.477197402651404760
2022-07-22,23134.07,28145.556081113425734760
2022-07-23,22510.13,28160.634964824200064760
2022-07-24,22635.53,28175.713848534974394760
2022-07-25,21942.38,28190.792732245748724760
2022-07-26,21039.05,28205.871615956523054760
2022-07-27,21680.68,28220.950499667297384760
2022-07-28,23346.42,28236.029383378071714760
2022-07-29,23888.49,28251.108267088846044760
2022-07-30,24034.84,28266.187150799620374760
2022-07-31,23720.68,28281.266034510394704760
2022-08-01,23228.51,28296.344918221169034760
2022-08-02,22964.95,28311.423801931943364760
2022-08-03,23174.94,28326.502685642717694760
2022-08-04,22849.70,28341.581569353492024760
2022-08-05,23080.75,28356.660453064266354760
2022-08-06,23188.75,28371.739336775040684760
2022-08-07,23081.04,28386.818220485815014760
2022-08-08,23813.68,28401.897104196589344760
2022-08-09,23431.09,28416.975987907363674760
2022-08-10,23432.08,28432.054871618138004760
2022-08-11,24372.06,28447.133755328912334760
2022-08-12,24003.77,28462.212639039686664760
2022-08-13,24526.99,28477.291522750460994760
2022-08-14,24507.78,28492.370406461235324760
2022-08-15,24272.14,28507.449290172009654760
2022-08-16,23968.21,28522.528173882783984760
2022-08-17,23692.72,28537.607057593558314760
2022-08-18,23421.41,28552.685941304332644760
2022-08-19,21808.07,28567.764825015106974760
2022-08-20,21182.74,28582.843708725881304760
2022-08-21,21387.93,28597.922592436655634760
2022-08-22,21278.38,28613.001476147429964760
2022-08-23,21395.88,28628.080359858204294760
2022-08-24,21476.78,28643.159243568978624760
2022-08-25,21605.31,28658.238127279752954760
2022-08-26,21184.02,28673.317010990527284760
2022-08-27,20138.43,28688.395894701301614760
2022-08-28,20022.24,28703.474778412075944760
2022-08-29,19985.80,28718.553662122850274760
2022-08-30,20157.07,28733.632545833624604760
2022-08-31,20213.97,28748.711429544398934760
2022-09-01,19978.37,28763.790313255173264760
2022-09-02,20099.34,28778.869196965947594760
2022-09-03,19846.89,28793.948080676721924760
2022-09-04,19805.23,28809.026964387496254760
2022-09-05,19797.69,28824.105848098270584760
2022-09-06,19599.59,28839.184731809044914760
2022-09-07,18910.92,28854.263615519819244760
2022-09-08,19262.28,28869.342499230593574760
2022-09-09,20715.33,28884.421382941367904760
2022-09-10,21388.72,28899.500266652142234760
2022-09-11,21624.17,28914.579150362916564760
2022-09-12,22115.09,28929.658034073690894760
2022-09-13,21566.82,28944.736917784465224760
2022-09-14,20238.28,28959.815801495239554760
2022-09-15,19986.90,28974.894685206013884760
2022-09-16,19717.11,28989.973568916788214760
2022-09-17,19950.10,29005.052452627562544760
2022-09-18,19878.72,29020.131336338336874760
2022-09-19,19004.89,29035.210220049111204760
2022-09-20,19203.71,29050.289103759885534760
2022-09-21,19008.69,29065.367987470659864760
2022-09-22,18974.48,29080.446871181434194760
2022-09-23,19071.35,29095.525754892208524760
2022-09-24,19082.86,29110.604638602982854760
2022-09-25,18993.20,29125.683522313757184760
2022-09-26,19011.79,29140.762406024531514760
2022-09-27,19738.24,29155.841289735305844760
2022-09-28,19116.92,29170.920173446080174760
2022-09-29,19392.24,29185.999057156854504760
2022-09-30,19526.56,29201.077940867628834760
2022-10-01,19330.12,29216.156824578403164760
2022-10-02,19232.91,29231.235708289177494760
2022-10-03,19312.74,29246.314591999951824760
2022-10-04,19941.27,29261.393475710726154760
2022-10-05,20136.41,29276.472359421500484760
2022-10-06,20144.73,29291.551243132274814760
2022-10-07,19782.68,29306.630126843049144760
2022-10-08,19496.09,29321.709010553823474760
2022-10-09,19447.40,29336.787894264597804760
2022-10-10,19332.55,29351.866777975372134760
2022-10-11,19075.50,29366.945661686146464760
2022-10-12,19123.93,29382.024545396920794760
2022-10-13,19043.38,29397.103429107695124760
2022-10-14,19518.49,29412.182312818469454760
2022-10-15,19140.79,29427.261196529243784760
2022-10-16,19162.86,29442.340080240018114760
2022-10-17,19398.73,29457.418963950792444760
2022-10-18,19472.14,29472.497847661566774760
2022-10-19,19216.77,29487.576731372341104760
2022-10-20,19131.88,29502.655615083115434760
2022-10-21,19063.94,29517.734498793889764760
2022-10-22,19178.64,29532.813382504664094760
2022-10-23,19267.61,29547.892266215438424760
2022-10-24,19342.75,29562.971149926212754760
2022-10-25,19598.13,29578.050033636987084760
2022-10-26,20530.03,29593.128917347761414760
2022-10-27,20625.20,29608.207801058535744760
2022-10-28,20381.13,29623.286684769310074760
2022-10-29,20777.87,29638.365568480084404760
2022-10-30,20719.67,29653.444452190858734760
2022-10-31,20510.49,29668.523335901633064760
2022-11-01,20509.06,29683.602219612407394760
2022-11-02,20428.77,29698.681103323181724760
2022-11-03,20258.77,29713.759987033956054760
2022-11-04,20693.09,29728.838870744730384760
2022-11-05,21341.92,29743.917754455504714760
2022-11-06,21215.41,29758.996638166279044760
2022-11-07,20781.80,29774.075521877053374760
2022-11-08,19573.45,29789.154405587827704760
2022-11-09,17550.02,29804.233289298602034760
2022-11-10,16962.44,29819.312173009376364760
2022-11-11,17113.92,29834.391056720150694760
2022-11-12,16838.77,29849.469940430925024760
2022-11-13,16646.12,29864.548824141699354760
2022-11-14,16464.94,29879.627707852473684760
2022-11-15,16841.19,29894.706591563248014760
2022-11-16,16714.32,29909.785475274022344760
2022-11-17,16617.53,29924.864358984796674760
2022-11-18,16744.40,29939.943242695571004760
2022-11-19,16655.31,29955.022126406345334760
2022-11-20,16608.20,29970.101010117119664760
2022-11-21,16075.45,29985.179893827893994760
2022-11-22,15970.33,30000.258777538668324760
2022-11-23,16479.62,30015.337661249442654760
