date,rsi
2022-01-01,NULL
2022-01-02,NULL
2022-01-03,18.7965
2022-01-04,10.8203
2022-01-05,6.8872
2022-01-06,2.4124
2022-01-07,1.9021
2022-01-08,1.8092
2022-01-09,5.1067
2022-01-10,4.8663
2022-01-11,12.9822
2022-01-12,24.5376
2022-01-13,26.2811
2022-01-14,24.3520
2022-01-15,27.4328
2022-01-16,26.4637
2022-01-17,26.1745
2022-01-18,25.6065
2022-01-19,27.0077
2022-01-20,42.4616
2022-01-21,30.2993
2022-01-22,22.8845
2022-01-23,21.4332
2022-01-24,21.4348
2022-01-25,26.6446
2022-01-26,26.4318
2022-01-27,23.1336
2022-01-28,28.2520
2022-01-29,30.3111
2022-01-30,31.0346
2022-01-31,31.4232
2022-02-01,37.6573
2022-02-02,36.4128
2022-02-03,32.2969
2022-02-04,50.5632
2022-02-05,72.8255
2022-02-06,73.3568
2022-02-07,77.6667
2022-02-08,76.6502
2022-02-09,74.9525
2022-02-10,82.6198
2022-02-11,74.3228
2022-02-12,67.9442
2022-02-13,67.5513
2022-02-14,69.0695
2022-02-15,70.7306
2022-02-16,73.8832
2022-02-17,72.8923
2022-02-18,56.5633
2022-02-19,43.1603
2022-02-20,37.7788
2022-02-21,27.5579
2022-02-22,19.8994
2022-02-23,24.6071
2022-02-24,18.7507
2022-02-25,35.1756
2022-02-26,38.8480
2022-02-27,37.5104
2022-02-28,40.9636
2022-03-01,49.2281
2022-03-02,50.1698
2022-03-03,51.3537
2022-03-04,51.4046
2022-03-05,47.6542
2022-03-06,50.8212
2022-03-07,49.3728
2022-03-08,53.2944
2022-03-09,58.4709
2022-03-10,58.5351
2022-03-11,50.2934
2022-03-12,49.6901
2022-03-13,50.4666
2022-03-14,47.8627
2022-03-15,31.8972
2022-03-16,36.1855
2022-03-17,41.8748
2022-03-18,50.2228
2022-03-19,62.8442
2022-03-20,62.1261
2022-03-21,63.8956
2022-03-22,66.9170
2022-03-23,54.1148
2022-03-24,74.9619
2022-03-25,83.8950
2022-03-26,83.8241
2022-03-27,87.5293
2022-03-28,91.0619
2022-03-29,91.0678
2022-03-30,86.9668
2022-03-31,80.6704
2022-04-01,72.1150
2022-04-02,72.1353
2022-04-03,73.0161
2022-04-04,74.6165
2022-04-05,71.5475
2022-04-06,61.0618
2022-04-07,50.5263
2022-04-08,44.9431
2022-04-09,40.9466
2022-04-10,38.9284
2022-04-11,17.6816
2022-04-12,13.6757
2022-04-13,18.2012
2022-04-14,20.7374
2022-04-15,22.1713
2022-04-16,15.4558
2022-04-17,15.5387
2022-04-18,14.9473
2022-04-19,24.2476
2022-04-20,32.3085
2022-04-21,38.7509
2022-04-22,33.0856
2022-04-23,34.3715
2022-04-24,32.3053
2022-04-25,37.2040
2022-04-26,47.4516
2022-04-27,38.3278
2022-04-28,43.0186
2022-04-29,42.2954
2022-04-30,38.3668
2022-05-01,36.9300
2022-05-02,44.0380
2022-05-03,31.2852
2022-05-04,33.1917
2022-05-05,29.4321
2022-05-06,27.0630
2022-05-07,27.5884
2022-05-08,23.9792
2022-05-09,20.6612
2022-05-10,16.1137
2022-05-11,16.0380
2022-05-12,8.8733
2022-05-13,19.8349
2022-05-14,19.5566
2022-05-15,23.9626
2022-05-16,20.6432
2022-05-17,23.0776
2022-05-18,18.7699
2022-05-19,19.4716
2022-05-20,24.3708
2022-05-21,24.0828
2022-05-22,29.7475
2022-05-23,37.3442
2022-05-24,39.2978
2022-05-25,45.8916
2022-05-26,56.6382
2022-05-27,39.5927
2022-05-28,45.3791
2022-05-29,39.9338
2022-05-30,55.4114
2022-05-31,60.0621
2022-06-01,60.7607
2022-06-02,52.9859
2022-06-03,51.2019
2022-06-04,52.3318
2022-06-05,50.0798
2022-06-06,57.1696
2022-06-07,53.5792
2022-06-08,53.8000
2022-06-09,54.5407
2022-06-10,54.2300
2022-06-11,49.7699
2022-06-12,42.8846
2022-06-13,24.4687
2022-06-14,15.1051
2022-06-15,14.9659
2022-06-16,16.1333
2022-06-17,15.3738
2022-06-18,14.1870
2022-06-19,13.6209
2022-06-20,10.7998
2022-06-21,16.4955
