day_of_week,avg_price
1,30818.505000
2,31455.965556
3,31228.368519
4,31526.215385
5,31101.308077
6,31640.030400
7,31278.370000
8,31412.518148
9,31560.131852
10,29881.942308
11,31281.442222
12,31161.265000
13,31179.834444
14,31276.530000
15,31205.644074
16,31352.815926
17,31213.947778
18,31037.877778
19,30900.775185
20,31032.681111
21,31063.528519
22,30519.534231
23,30796.875185
24,30893.300741
25,31118.881111
26,31349.237778
27,31512.596154
28,31764.176296
29,32089.263600
30,30934.822083
31,32609.655000
