Address,Type,Time,Tx_id,BTC value,New_column
bc1qn9epvu94f5wjkfwh0hf3awz4duguj3h6ez5xxc,Sent,03/05/2024,ea44c8dedfef5acc37a36aa91fdf21e91bd71257e5cf3c3843b0388321ffdeb9,6682.051343,
bc1q4q65r60jw9jdja07kmvzjh4l5g30d438sxln7v,Received,03/05/2024,ea44c8dedfef5acc37a36aa91fdf21e91bd71257e5cf3c3843b0388321ffdeb9,6668.12003,
bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,Sent,02/05/2024,444af71d8ccbfae58f00510476a80bf4689a385a3f5fd7a9d8c645447f5819f4,9786.239329,
3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6,Received,02/05/2024,444af71d8ccbfae58f00510476a80bf4689a385a3f5fd7a9d8c645447f5819f4,9786.238,
bc1qug86ytqm9x8fvha9tmwee5aj8fausdvrpxyaug,Sent,01/05/2024,d10176bac0c8324cf0d9bc3649fab8a97b4fc68632c9b96875f8497c91d9bbfe,16226.58666,
bc1qvpxf5xtjrhvj2595ge43q7s0dlar09set2f54d,Received,01/05/2024,d10176bac0c8324cf0d9bc3649fab8a97b4fc68632c9b96875f8497c91d9bbfe,16176.58538,
bc1q35xtgzelg9er0tlw9ftuaqnfxjnxx3lcx8flup,Sent,01/05/2024,824542d514075bafd24b6c756e108aa7fdc9036de69481204faebcd6b3a5626a,4210.223997,
bc1qh8e7gmxxuzmtgff6myaekguyp28km0ewszqzmu,Received,01/05/2024,824542d514075bafd24b6c756e108aa7fdc9036de69481204faebcd6b3a5626a,4210.222807,
35dLp44nMp38bBYSXCBFwpnngSjVhqhfju,Sent,30/04/2024,2172690580e17be0c07165dbb6944e8ea4a1bd7e94c2338513b2897d95653db0,6533.018715,
37cSxHkEcj9i49fy1h58Q6d2wKsHjNV9EP,Received,30/04/2024,2172690580e17be0c07165dbb6944e8ea4a1bd7e94c2338513b2897d95653db0,6495.6302,
bc1q35xtgzelg9er0tlw9ftuaqnfxjnxx3lcx8flup,Sent,30/04/2024,d11a25be5f5faf5db67bc46ea79b0e7aba436fda5fc647dc930aef57cac84bde,3800.000016,
3CU8dbwe2VNWFp79ZNbBRGPzDpa4K2LdCJ,Sent,30/04/2024,dfdeacd2e8733c80566eaa96ef440a395f0c87d400e3e914441da749ebd1fd4c,4099.999096,
12qTdZHx6f77aQ74CPCZGSY47VaRwYjVD8,Sent,28/04/2024,6ef966845d08592d64d2c83801a12842a7f235ae0f1fe03420c93bd8a4bc9673,8000.00031,
143gLvWYUojXaWZRrxquRKpVNTkhmr415B,Received,28/04/2024,6ef966845d08592d64d2c83801a12842a7f235ae0f1fe03420c93bd8a4bc9673,8000,
bc1qsfdd5ctu9sqjr7n0jh77lyteg8e7y8hlz4aque,Sent,26/04/2024,ac87e7df9a74d662cc7ea97612fd69ac4a3782d026967f4a7fcc49ef7d536181,15944.41666,
bc1qug86ytqm9x8fvha9tmwee5aj8fausdvrpxyaug,Received,26/04/2024,ac87e7df9a74d662cc7ea97612fd69ac4a3782d026967f4a7fcc49ef7d536181,15944.404,
3DR2iGGQCUhShGhjTqShLAYEqxzAfY8pvZ,Sent,26/04/2024,bf164bd8c91fc159d43b3341f43d211985761d03c581eeb05d4c384e2cb92e30,5000,
3CU8dbwe2VNWFp79ZNbBRGPzDpa4K2LdCJ,Received,26/04/2024,bf164bd8c91fc159d43b3341f43d211985761d03c581eeb05d4c384e2cb92e30,4099.999096,
bc1q2w9tpv6wdxhfqa0w82wnzfu8e8k6ld347zhy8p,Sent,25/04/2024,11e135ad26513b120d6930ce87a3396b2da1c874bd2933b13b1f00175991a441,6744.928005,
bc1qemqgpxsu5nq8sh0tpa7m7ah0c8cenqf4rfjlv6,Received,25/04/2024,11e135ad26513b120d6930ce87a3396b2da1c874bd2933b13b1f00175991a441,6737.526648,
3Cow4GK79UFpuyC1aZ26aiPEpH3R7Wwysw,Sent,25/04/2024,04420648351f48a558fd1b5c6951c0249031bf51932e72c0ec051db04fc69601,5520.008748,
38Mj4hKWGumjuEX3xpgjBoaesdhpmBzRtq,Received,25/04/2024,04420648351f48a558fd1b5c6951c0249031bf51932e72c0ec051db04fc69601,5488.008628,
bc1qz08fkkd73u7yc73dc6gxap49tn042d8wzrtdh9,Sent,25/04/2024,4471d5fe7568aa61da9430d0fd89bf5542b3df64749cbcd90d302033648277f0,5598.133521,
bc1q0xjyhtdxs3867xase3cz6l0eklp4wsh90ej750,Received,25/04/2024,4471d5fe7568aa61da9430d0fd89bf5542b3df64749cbcd90d302033648277f0,5598.129521,
bc1qe622t4e94c5jkmrhm7vrrnfehyqymu3jeqfxry,Sent,23/04/2024,1fe798fce8740abdbab53f33c88340c9dd5d0ab889a425899adf05ac760fa99f,16014.41665,
bc1qsfdd5ctu9sqjr7n0jh77lyteg8e7y8hlz4aque,Received,23/04/2024,1fe798fce8740abdbab53f33c88340c9dd5d0ab889a425899adf05ac760fa99f,15864.41016,
3PdKaWwshFBWg6vAauToecqEAFtsuzyxGV,Sent,23/04/2024,dab0510ab0d001ffd7a169c27b3738ca4c411ab18bc77ea9462d98386e96d0ac,5000.010175,
3DR2iGGQCUhShGhjTqShLAYEqxzAfY8pvZ,Received,23/04/2024,dab0510ab0d001ffd7a169c27b3738ca4c411ab18bc77ea9462d98386e96d0ac,5000,
bc1qms2la25qtgh69e7v8eddhsz3gwlfzucwh6v0zvwk8ku36r3mczxq4zlfd5,Sent,19/04/2024,e9bf8b259060715a4f3c19271eaf699856732e7db4bc8cafb6519b3bc53ef74a,6790.507391,
bc1qrxhrm90p6qccryymrugwknt42je5kv0wd7c50tdhx70fa6yclv8sz6uvd3,Received,19/04/2024,e9bf8b259060715a4f3c19271eaf699856732e7db4bc8cafb6519b3bc53ef74a,6500,
1Hhytc53cv3n7x5Btwq2AzZ8Y4rAVqtjwP,Sent,18/04/2024,86b33aa0eadd94aab5f684016ac4cf19e24cf585699aae0df82803407de23e7f,3905.933333,
3MqUP6G1daVS5YTD8fz3QgwjZortWwxXFd,Received,18/04/2024,86b33aa0eadd94aab5f684016ac4cf19e24cf585699aae0df82803407de23e7f,3905.923333,
bc1q64l3y32lkgjt9czutff32xzfq76etwlep90rl8,Sent,18/04/2024,f1affa429e4136fee826ccbfe1099180c133a0a10c36b5f3d47e7b58315962f6,11318.99241,
bc1qsglskh8r5aplgfzyt5huzqfgaqrgh8nf8ss669,Received,18/04/2024,f1affa429e4136fee826ccbfe1099180c133a0a10c36b5f3d47e7b58315962f6,10318.9922,
bc1q5ga79ygwhtrmwsle3l9jk0l8w7882n4scg6lkf,Sent,18/04/2024,512375ed1b0053b804d4b1c02d331c8f71d9626e0f275a39d1e322db7201ada5,12318.99261,
bc1q64l3y32lkgjt9czutff32xzfq76etwlep90rl8,Received,18/04/2024,512375ed1b0053b804d4b1c02d331c8f71d9626e0f275a39d1e322db7201ada5,11318.99241,
bc1qwhyxc9ksvapfl9u6sr6uxjl92qj25zc608zefj,Sent,18/04/2024,82248ab2a37da125f5cf1e2271f4eba2b28b08988f78e99c0387ad525477fac2,12318.99501,
bc1qgmd77xu37zjc886w7fa6j87r8dhjcmtlrlqgx2,Sent,18/04/2024,d169c271092a89dd695f03fc56cf8dc34dc84dfbc883395e79da05c9da0f143e,12318.99381,
