date,total_volume
2023-05-08,6586.30944449
2023-05-08,7282.45755547
2023-05-09,4000
2023-05-09,4000.00197
2023-05-09,5176.37021627
2023-05-09,5879.73983347
2023-05-09,5879.74755547
2023-05-09,6586.34755547
2023-05-10,5000
2023-05-10,5314.8039974
2023-05-10,6582.953772
2023-05-10,6582.955
2023-05-10,9819.01814463
2023-05-10,9819.02
2023-05-10,10314.8060054
2023-05-10,11044.2073149
2023-05-10,11819.01814463
2023-05-10,11819.02483703
2023-05-10,13544.2139941
2023-05-11,4475.60086307
2023-05-11,5176.37755547
2023-05-11,9714.38639688
2023-05-11,10000
2023-05-11,12863.22401605
2023-05-11,22863.23213873
2023-05-12,3999.9982067
2023-05-12,4475.60755547
2023-05-12,5000
2023-05-12,5500.9
2023-05-12,5500.9091333
2023-05-12,10363.22716233
2023-05-12,12863.23213873
2023-05-15,3999.99985502
2023-05-15,11347.4632241
2023-05-15,11347.47161008
2023-05-15,11533.50677248
2023-05-15,11533.51504708
2023-05-17,10363.23103553
2023-05-17,10363.23213873
2023-05-18,10000
2023-05-18,10010.33839446
2023-05-18,10363.23203873
2023-05-19,3999.9982067
2023-05-19,4995.57409617
2023-05-19,5000
2023-05-19,5000.00000666
2023-05-19,5000.00141906
2023-05-19,5047.47795777
2023-05-19,5503.66
2023-05-19,5814.99348952
2023-05-19,5834.99955
2023-05-19,6500.17
2023-05-19,6582.953772
2023-05-19,10000
2023-05-22,7206
2023-05-22,7206.0015
2023-05-23,5405.99981697
2023-05-23,5405.99984002
2023-05-23,5405.99991015
2023-05-23,7206
2023-05-23,7206.00033019
2023-05-23,7206.0015
2023-05-25,11261.955
2023-05-25,11261.95549823
2023-05-25,20054.5255
2023-05-25,20054.53080513
2023-05-26,4000
2023-05-26,4000.00179966
2023-05-26,4999.9985
2023-05-26,5000
2023-05-27,6766.0609624
2023-05-27,6766.94271498
2023-05-27,6766.94294049
2023-05-29,5804.99837106
2023-05-29,5884.99955
2023-05-29,7043.99977956
2023-05-29,7043.999851
2023-05-29,7045
2023-05-29,7087.16997827
2023-05-30,5003.6
2023-05-30,5003.63840547
2023-05-30,5312.35936673
2023-05-30,5336.36115521
2023-05-30,5764.9987316
2023-05-30,5804.99955
2023-05-31,4834.77335134
2023-05-31,4900
2023-05-31,4999.9985
2023-05-31,4999.99850546
2023-05-31,5166.80881019
2023-05-31,5184.10193931
2023-05-31,11224.89338816
2023-05-31,11224.89375186
2023-06-01,3999.9985
2023-06-01,4000
2023-06-01,5161.53460302
2023-06-01,5166.81030191
2023-06-01,5296.78690064
2023-06-01,5312.36115521
2023-06-01,6867.5691503
2023-06-01,8357.36218339
2023-06-01,8357.36301499
2023-06-01,8357.36401499
2023-06-02,3749.9999967
2023-06-02,3899.99971852
2023-06-02,3999.9985
2023-06-02,4900
2023-06-02,5578
2023-06-02,5578.43
2023-06-04,3999.9985
2023-06-05,3899.99971852
2023-06-05,6847.5690711
2023-06-05,6867.5699819
2023-06-06,8552.46323431
2023-06-06,8802.46338663
2023-06-06,9302.46353895
2023-06-08,5919.99552136
2023-06-08,5964.99955
2023-06-11,8944.81079823
2023-06-11,9044.8151011
2023-06-12,4846.08961458
2023-06-12,4847.09007658
