address,total_volume
3MqUP6G1daVS5YTD8fz3QgwjZortWwxXFd,1108942.4191438402
bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,245630.43155404998
39884E3j6KZj82FK4vcCrkUvWYL5MQaS3v,230354.77656046
1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g,205195.44426219
3DR2iGGQCUhShGhjTqShLAYEqxzAfY8pvZ,186200
3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6,184320.68301206004
bc1qct3myskt9mrrvfgw7mqt6aupn82804crg0xxg7,174102.06930296
1JHceFenZHACSRPD6tE4bfU6yJ83wTG6kH,166622.4954200599
1Pzaqw98PeRfyHypfqyEgg5yycJRsENrE7,166290.0030296
3JZq4atUahhuA9rLhXLMhhTo133J9rF97j,165822.91645297
