date,whale_volume,Price
2023-05-08,13868.76699996,27944.38
2023-05-09,31522.20713068,27605.99
2023-05-10,101660.02121009,27725.45
2023-05-11,75092.8209702,27301.61
2023-05-12,47703.87419653,26521.67
2023-05-15,72642.92650534,27327.83
2023-05-17,20726.46317426,27009.38
2023-05-18,40373.57043319,27151.22
2023-05-19,69279.82849788,26883.21
2023-05-22,43236.004499999995,26812.42
2023-05-23,118908.00387129,27231.87
2023-05-25,62632.96680336,26315.21
2023-05-26,27999.99879966,26573.88
2023-05-27,27066.889558360002,26723.67
2023-05-29,53998.16716045,27879.71
2023-05-30,37229.55720901,27786.79
2023-05-31,52535.46824632,27205.58
2023-06-01,68877.14832445,26924.58
2023-06-02,33284.428215219996,27066.46
2023-06-04,3999.9985,27175.79
2023-06-05,17615.13877152,26445.67
2023-06-06,35459.85354652,26101.67
2023-06-08,11884.995071360001,26468.92
2023-06-11,17989.62589933,25839.33
2023-06-12,54592.352739580005,25876.04
2023-06-13,53953.177563909994,25992.21
2023-06-14,47696.13762805,25827.54
2023-06-15,37174.37839385,25101.17
2023-06-16,26204.374848120002,25765.79
2023-06-17,41181,26473.92
2023-06-18,20064.33284205,26511.54
2023-06-19,274014.70789625,26501.39
2023-06-20,22306.88895186,27193.50
2023-06-21,66776.33112958001,29301.96
2023-06-22,48941.11945034,30101.58
2023-06-23,50170.916811799994,30348.29
2023-06-24,10989.9986116,30641.38
2023-06-25,23840.888042,30634.21
2023-06-26,65568.78416416001,30272.33
2023-06-27,17959.99877374,30530.29
2023-06-28,56449.49908508,30320.13
2023-06-29,38299.66880794,30419.25
2023-06-30,47759.43824483,30577.13
2023-07-01,75632.48900074,30508.79
2023-07-03,10584.400075,30817.63
2023-07-04,11272.81300691,31002.91
2023-07-05,13610.43137524,30604.46
2023-07-07,15590.29169974,30190.46
2023-07-10,15362.044590720001,30257.38
2023-07-11,28577.329604159997,30504.96
2023-07-12,39714.74960323,30584.83
2023-07-13,20849.69581021,30707.50
2023-07-14,30704.033072929997,31080.91
2023-07-15,16244.69093795,30319.08
2023-07-17,23656.562124179996,30191.42
2023-07-18,22766.551555860002,29959.88
2023-07-19,47713.16143837,29984.21
2023-07-20,38528.08999685,29993.29
2023-07-21,73582.98543987,29859.25
2023-07-23,15382.8073099,29946.63
2023-07-24,45180.289302180005,29431.18
2023-07-25,8647.359765739999,29174.75
2023-07-28,25055.82791281,29261.50
2023-07-29,9861.88463846,29330.29
2023-07-31,17590.52251205,29326.79
2023-08-01,15696.80006415,29006.88
2023-08-02,47268.37511588,29429.96
2023-08-08,38646.99748417,29436.58
2023-08-09,14024.72658626,29701.67
2023-08-10,20181.242902470003,29488.67
2023-08-11,17117.15406438,29388.75
2023-08-14,56445.56994864,29373.33
2023-08-15,5000,29316.46
2023-08-16,41082.83225015,29102.42
2023-08-17,17332.8591395,28196.50
2023-08-18,74433.36979785,26295.96
2023-08-21,12127.05191912,26064.67
2023-08-22,40734.604913639996,25980.33
2023-08-23,63480.87303769,26169.17
2023-08-24,29503.7024193,26287.58
2023-08-25,18881.77995274,26048.88
2023-08-28,21767.15996928,26025.38
2023-08-29,48898.46934180001,26682.83
2023-08-30,94331.14800101,27356.29
2023-08-31,11885.9989584,26885.63
2023-09-01,32339.01572143,25898.67
2023-09-05,22872.16367211,25732.29
2023-09-07,24319.639200139998,25824.25
2023-09-09,11974.998786799999,25866.54
2023-09-12,12322.28739082,25868.58
2023-09-14,22259.59112605,26435.38
2023-09-15,53689.94729316,26502.17
2023-09-16,10721.48921015,26556.79
2023-09-18,11809.9988132,26853.46
2023-09-19,7999.995737499999,27044.17
2023-09-20,19760.680222199997,27131.33
2023-09-21,29898.374319220005,26778.04
2023-09-22,7855.2338530199995,26610.26
2023-09-23,60007.81844055001,26574.17
2023-09-24,11674.998681199999,26552.50
2023-09-25,12313.22176326,26195.54
2023-09-26,12246.77172922,26236.04
2023-09-27,11679.99872482,26311.33
2023-09-28,70599.71142928,26662.25
2023-09-29,28995.986994500003,26952.29
2023-09-30,37542.444829,26969.33
2023-10-02,43777.93316938,28060.33
2023-10-03,11559.998866,27487.46
2023-10-04,65881.89503484,27517.08
2023-10-05,23213.29185439,27632.67
2023-10-06,13402.22043213,27703.33
2023-10-07,14999.68609966,27942.88
2023-10-08,11529.99879934,27932.58
2023-10-09,5600,27687.67
2023-10-10,59306.16753037001,27526.21
2023-10-11,72186.02534017,27023.54
2023-10-12,19319.913617880004,26754.21
2023-10-13,17340.52983685,26815.71
2023-10-16,24493.802306719997,27903.96
2023-10-17,37430.47129417,28410.67
2023-10-18,146971.2511694,28419.21
2023-10-19,22969.997929999998,28494.21
2023-10-20,79027.54874353,29429.29
2023-10-22,11109.999037599999,29927.71
2023-10-23,82556.9011269,30879.04
2023-10-24,125624.87862932,34107.42
2023-10-25,36751.98846502,34335.92
2023-10-26,111233.38171245999,34344.75
2023-10-27,52818.863915019996,33962.13
2023-10-28,42927.39920804,34098.54
2023-10-29,4999.99971452,34302.67
2023-10-30,28298.39063103,34446.33
2023-10-31,10250.126552139998,34401.75
2023-11-01,30857.63754502,34618.04
2023-11-02,23169.17738122,35160.79
2023-11-03,103917.90493963001,34534.33
2023-11-06,21555.49211714,34997.92
2023-11-07,12021.88313528,34967.46
2023-11-08,92667.63782289001,35397.96
2023-11-09,158600.7984261,36578.50
2023-11-10,30464.98535032,36937.17
2023-11-11,38826.33107654,37081.83
2023-11-13,56601.02729775999,36874.75
2023-11-14,129735.96398802,36233.52
2023-11-15,36598.05209768,36271.83
2023-11-16,60945.25655674,36934.29
2023-11-17,19173.32168812,36360.79
2023-11-20,24400.13749385,37296.13
2023-11-21,34926.70217988,37172.42
2023-11-23,21479.990111519997,37324.83
2023-11-24,23550.01611337,37652.71
2023-11-25,26686.92849364,37766.50
2023-11-27,92502.22150133,37179.29
2023-11-28,8519.4284637,37435.79
2023-11-29,23373.77328452,37950.13
2023-11-30,61272.45096896999,37782.29
2023-12-01,10559.9981664,38413.83
2023-12-03,30843.945253520003,39557.67
2023-12-04,42786.752437150004,41442.04
2023-12-05,123665.31727846,42384.38
2023-12-06,92480.74813627,43876.25
2023-12-07,54571.177109050004,43569.48
2023-12-08,37650.789984920004,43681.21
2023-12-09,10319.9935,44046.33
2023-12-10,9279.9935,43826.96
2023-12-11,108680.24517085002,41913.25
2023-12-12,64904.092876869996,41541.67
2023-12-13,4119.23240411,41608.17
2023-12-14,34492.48504834,42855.79
2023-12-15,12316.49272433,42486.50
2023-12-16,51001.6918516,42263.75
2023-12-18,9999.99551547,41385.54
2023-12-19,27289.17759753,42695.88
2023-12-20,13032.36382127,43179.46
2023-12-21,26260.21224946,43733.54
2023-12-22,63788.40075496001,43814.52
2023-12-23,7997.9984023100005,43698.34
